n_thread,time
1, 2.03
1, 2.14
1, 2.02
1, 1.96
1, 2.04
2, 2.22
2, 1.96
2, 2.00
2, 2.06
2, 2.19
3, 2.04
3, 2.25
3, 2.07
3, 2.06
3, 2.15
4, 2.23
4, 2.07
4, 2.20
4, 2.22
4, 2.22
5, 2.29
5, 2.54
5, 2.37
5, 2.19
5, 2.28
6, 2.20
6, 2.24
6, 2.15
6, 2.33
6, 2.30
7, 2.43
7, 2.38
7, 2.34
7, 2.29
7, 2.26
8, 2.27
8, 2.26
8, 2.37
8, 2.47
8, 2.42
9, 2.44
9, 2.37
9, 2.49
9, 2.49
9, 2.35
10, 2.38
10, 2.46
10, 2.38
10, 2.39
10, 2.54
11, 2.55
11, 2.52
11, 2.53
11, 2.48
11, 2.47
12, 2.55
12, 2.66
12, 2.76
12, 2.70
12, 2.57
13, 2.70
13, 2.53
13, 2.78
13, 2.62
13, 2.54
14, 2.61
14, 2.58
14, 2.71
14, 2.60
14, 2.72
15, 2.63
15, 2.67
15, 2.90
15, 2.65
15, 2.86
16, 2.68
16, 2.91
16, 2.77
16, 2.93
16, 2.81
